[MESSAGE] offset=0 partition=0 value={'pair': 'ETH/USD', 'price': '3458.56000', 'volume': '1.44567742', 'timestamp': '1762549864.660596', 'side': 'b'}
[MESSAGE] offset=0 partition=1 value={'pair': 'ETH/USD', 'price': '3458.56000', 'volume': '1.44569097', 'timestamp': '1762549864.660596', 'side': 'b'}
[MESSAGE] offset=1 partition=1 value={'pair': 'XBT/USD', 'price': '103398.00000', 'volume': '0.00008841', 'timestamp': '1762549865.769150', 'side': 'b'}
[MESSAGE] offset=0 partition=2 value={'pair': 'XBT/USD', 'price': '103398.00000', 'volume': '0.00241784', 'timestamp': '1762549865.849340', 'side': 'b'}
[MESSAGE] offset=1 partition=0 value={'pair': 'ETH/USD', 'price': '3458.51000', 'volume': '2.89137675', 'timestamp': '1762549869.447201', 'side': 'b'}
[MESSAGE] offset=2 partition=1 value={'pair': 'XBT/USD', 'price': '103397.90000', 'volume': '0.00002203', 'timestamp': '1762549871.085812', 'side': 's'}
[MESSAGE] offset=2 partition=0 value={'pair': 'ETH/USD', 'price': '3458.51000', 'volume': '2.89141855', 'timestamp': '1762549871.223144', 'side': 'b'}
[MESSAGE] offset=3 partition=1 value={'pair': 'ETH/USD', 'price': '3458.17000', 'volume': '1.77836675', 'timestamp': '1762549871.328770', 'side': 's'}
[MESSAGE] offset=3 partition=0 value={'pair': 'ETH/USD', 'price': '3458.50000', 'volume': '0.42188132', 'timestamp': '1762549871.328770', 'side': 's'}
[MESSAGE] offset=4 partition=0 value={'pair': 'ETH/USD', 'price': '3458.34000', 'volume': '0.30000000', 'timestamp': '1762549871.328770', 'side': 's'}
[MESSAGE] offset=4 partition=1 value={'pair': 'XBT/USD', 'price': '103397.90000', 'volume': '1.08255878', 'timestamp': '1762549872.583868', 'side': 's'}
[MESSAGE] offset=1 partition=2 value={'pair': 'XBT/USD', 'price': '103397.90000', 'volume': '0.12108622', 'timestamp': '1762549872.583867', 'side': 's'}
